x_acc,y_acc,z_acc,x_gyr,y_grc,z_grc,Azimuth,Pitch,Roll,Sisfall_Label_X4
6,-234,-84,35,3,-7,11,-962,-323,1
5,-234,-85,34,4,-8,7,-961,-323,1
7,-237,-83,34,4,-7,9,-959,-323,1
-2,-238,-77,35,5,-7,8,-968,-328,1
7,-237,-83,35,4,-8,7,-963,-322,1
4,-233,-84,36,4,-7,4,-963,-324,1
4,-233,-79,35,5,-6,8,-963,-325,1
7,-233,-85,37,5,-7,3,-968,-326,1
5,-235,-82,38,6,-7,10,-958,-320,1
3,-233,-85,40,6,-7,12,-960,-323,1
4,-236,-82,41,4,-6,8,-964,-322,1
3,-234,-83,41,4,-7,12,-962,-317,1
6,-235,-84,42,4,-6,6,-962,-319,1
5,-233,-87,44,2,-6,14,-961,-320,1
6,-235,-83,44,1,-5,8,-962,-317,1
3,-233,-82,45,1,-5,9,-963,-326,1
0,-232,-82,42,-2,-6,-20,-958,-328,1
1,-230,-84,34,-3,-5,12,-956,-322,1
4,-234,-83,33,-2,-4,5,-960,-325,1
2,-233,-83,35,-2,-5,4,-966,-323,1
6,-232,-82,37,-1,-7,3,-963,-326,1
2,-233,-82,37,-1,-7,2,-961,-327,1
3,-236,-87,39,1,-9,5,-963,-323,1
7,-237,-83,40,1,-9,9,-961,-326,1
7,-239,-90,42,2,-9,7,-959,-324,1
4,-234,-83,43,1,-7,5,-963,-326,1
4,-233,-83,44,1,-8,4,-961,-324,1
7,-236,-81,47,2,-11,4,-955,-323,1
5,-233,-83,50,3,-11,8,-962,-323,1
5,-234,-85,49,5,-12,11,-958,-329,1
6,-231,-87,47,5,-10,7,-953,-327,1
6,-233,-80,44,6,-10,13,-951,-325,1
4,-233,-85,42,6,-10,11,-958,-327,1
5,-235,-81,40,7,-10,6,-957,-319,1
4,-235,-85,41,8,-11,7,-958,-321,1
2,-238,-86,40,10,-11,5,-955,-321,1
2,-231,-80,41,8,-11,5,-956,-321,1
5,-234,-82,40,9,-12,1,-960,-324,1
4,-235,-83,39,9,-12,6,-959,-325,1
3,-234,-80,37,10,-10,3,-960,-327,1
3,-233,-82,37,10,-11,-1,-961,-329,1
4,-236,-86,38,10,-12,5,-964,-328,1
6,-236,-85,40,10,-11,5,-959,-331,1
5,-232,-86,42,9,-10,10,-961,-332,1
4,-231,-82,42,9,-10,13,-955,-333,1
8,-229,-84,42,11,-9,6,-960,-335,1
5,-232,-88,38,11,-8,13,-959,-332,1
4,-232,-82,36,10,-6,10,-962,-327,1
5,-236,-84,32,11,-6,6,-958,-327,1
3,-234,-82,31,12,-6,11,-964,-322,1
3,-230,-84,79,-53,-30,3,-956,-336,1
2,-232,-82,80,-51,-30,9,-954,-330,1
4,-230,-89,80,-48,-31,0,-960,-336,1
5,-232,-89,80,-47,-33,7,-955,-341,1
3,-232,-87,80,-45,-33,6,-952,-339,1
2,-232,-86,78,-41,-32,7,-956,-335,1
4,-230,-83,75,-38,-31,11,-947,-337,1
2,-229,-88,72,-37,-31,6,-950,-337,1
5,-231,-85,69,-36,-31,9,-950,-331,1
5,-231,-84,67,-36,-31,10,-958,-332,1
4,-230,-87,64,-35,-31,9,-955,-327,1
4,-235,-84,63,-35,-31,9,-956,-330,1
4,-231,-83,62,-35,-32,5,-958,-325,1
8,-240,-87,62,-36,-30,10,-955,-329,1
2,-235,-83,62,-36,-30,6,-955,-329,1
4,-231,-84,62,-37,-29,5,-960,-331,1
4,-233,-82,63,-34,-30,2,-957,-331,1
7,-236,-86,64,-35,-30,5,-957,-328,1
2,-232,-87,65,-32,-28,6,-962,-333,1
5,-235,-83,67,-31,-30,-1,-960,-332,1
4,-234,-85,67,-29,-29,3,-960,-326,1
2,-232,-87,68,-28,-30,7,-963,-331,1
6,-233,-84,69,-26,-30,6,-962,-330,1
7,-239,-85,70,-24,-30,7,-958,-331,1
2,-229,-83,72,-23,-30,4,-958,-329,1
4,-234,-86,72,-22,-29,9,-953,-325,1
7,-233,-85,73,-20,-28,6,-955,-328,1
4,-233,-84,76,-19,-29,4,-952,-321,1
3,-229,-82,76,-20,-27,6,-954,-323,1
3,-231,-82,76,-21,-26,9,-953,-323,1
4,-231,-82,76,-22,-24,5,-949,-316,1
5,-233,-82,77,-23,-23,8,-955,-316,1
4,-229,-84,77,-23,-23,5,-950,-320,1
2,-230,-79,76,-25,-22,7,-954,-325,1
3,-232,-80,74,-27,-20,10,-952,-319,1
9,-232,-84,71,-31,-18,3,-952,-323,1
4,-232,-86,67,-33,-19,6,-948,-325,1
4,-232,-77,63,-35,-19,7,-953,-325,1
6,-233,-81,56,-37,-20,8,-959,-323,1
4,-230,-83,50,-40,-21,4,-960,-322,1
2,-232,-84,46,-42,-24,3,-963,-324,1
4,-236,-83,43,-43,-25,2,-962,-327,1
1,-235,-85,39,-44,-27,-2,-965,-322,1
1,-233,-80,39,-45,-30,-2,-972,-328,1
2,-238,-85,39,-46,-31,-5,-972,-323,1
0,-235,-85,39,-48,-34,-9,-977,-327,1
1,-235,-83,40,-50,-34,-1,-969,-323,1
1,-236,-87,42,-51,-35,-7,-971,-320,1
1,-234,-82,42,-52,-35,-4,-970,-323,1
1,-232,-83,44,-52,-36,-8,-970,-322,1
23,-231,-60,93,-142,76,61,-958,-230,1
23,-232,-62,58,-116,65,70,-955,-223,1
29,-231,-52,29,-89,49,86,-954,-211,1
33,-235,-49,7,-65,32,91,-960,-200,1
32,-237,-48,-7,-43,13,110,-962,-184,1
35,-238,-47,-11,-24,-4,116,-972,-166,1
