x_acc,y_acc,z_acc,x_gyr,y_grc,z_grc
6,-234,-84,35,3,-7
5,-234,-85,34,4,-8
7,-237,-83,34,4,-7
-2,-238,-77,35,5,-7
7,-237,-83,35,4,-8
4,-233,-84,36,4,-7
4,-233,-79,35,5,-6
7,-233,-85,37,5,-7
5,-235,-82,38,6,-7
3,-233,-85,40,6,-7
4,-236,-82,41,4,-6
3,-234,-83,41,4,-7
6,-235,-84,42,4,-6
5,-233,-87,44,2,-6
6,-235,-83,44,1,-5
3,-233,-82,45,1,-5
0,-232,-82,42,-2,-6
1,-230,-84,34,-3,-5
4,-234,-83,33,-2,-4
2,-233,-83,35,-2,-5
6,-232,-82,37,-1,-7
2,-233,-82,37,-1,-7
3,-236,-87,39,1,-9
7,-237,-83,40,1,-9
7,-239,-90,42,2,-9
4,-234,-83,43,1,-7
4,-233,-83,44,1,-8
7,-236,-81,47,2,-11
5,-233,-83,50,3,-11
5,-234,-85,49,5,-12
6,-231,-87,47,5,-10
6,-233,-80,44,6,-10
4,-233,-85,42,6,-10
5,-235,-81,40,7,-10
4,-235,-85,41,8,-11
2,-238,-86,40,10,-11
2,-231,-80,41,8,-11
5,-234,-82,40,9,-12
4,-235,-83,39,9,-12
3,-234,-80,37,10,-10
3,-233,-82,37,10,-11
4,-236,-86,38,10,-12
6,-236,-85,40,10,-11
5,-232,-86,42,9,-10
4,-231,-82,42,9,-10
8,-229,-84,42,11,-9
5,-232,-88,38,11,-8
4,-232,-82,36,10,-6
5,-236,-84,32,11,-6
3,-234,-82,31,12,-6
3,-230,-84,79,-53,-30
2,-232,-82,80,-51,-30
4,-230,-89,80,-48,-31
5,-232,-89,80,-47,-33
3,-232,-87,80,-45,-33
2,-232,-86,78,-41,-32
4,-230,-83,75,-38,-31
2,-229,-88,72,-37,-31
5,-231,-85,69,-36,-31
5,-231,-84,67,-36,-31
4,-230,-87,64,-35,-31
4,-235,-84,63,-35,-31
4,-231,-83,62,-35,-32
8,-240,-87,62,-36,-30
2,-235,-83,62,-36,-30
4,-231,-84,62,-37,-29
4,-233,-82,63,-34,-30
7,-236,-86,64,-35,-30
2,-232,-87,65,-32,-28
5,-235,-83,67,-31,-30
4,-234,-85,67,-29,-29
2,-232,-87,68,-28,-30
6,-233,-84,69,-26,-30
7,-239,-85,70,-24,-30
2,-229,-83,72,-23,-30
4,-234,-86,72,-22,-29
7,-233,-85,73,-20,-28
4,-233,-84,76,-19,-29
3,-229,-82,76,-20,-27
3,-231,-82,76,-21,-26
4,-231,-82,76,-22,-24
5,-233,-82,77,-23,-23
4,-229,-84,77,-23,-23
2,-230,-79,76,-25,-22
3,-232,-80,74,-27,-20
9,-232,-84,71,-31,-18
4,-232,-86,67,-33,-19
4,-232,-77,63,-35,-19
6,-233,-81,56,-37,-20
4,-230,-83,50,-40,-21
2,-232,-84,46,-42,-24
4,-236,-83,43,-43,-25
1,-235,-85,39,-44,-27
1,-233,-80,39,-45,-30
2,-238,-85,39,-46,-31
0,-235,-85,39,-48,-34
1,-235,-83,40,-50,-34
1,-236,-87,42,-51,-35
1,-234,-82,42,-52,-35
1,-232,-83,44,-52,-36
23,-231,-60,93,-142,76
23,-232,-62,58,-116,65
29,-231,-52,29,-89,49
33,-235,-49,7,-65,32
32,-237,-48,-7,-43,13
35,-238,-47,-11,-24,-4
37,-239,-41,-3,-4,-24
37,-239,-38,14,21,-38
39,-241,-40,39,39,-48
33,-241,-40,69,57,-54
32,-240,-39,97,71,-55
31,-242,-43,124,83,-55
30,-239,-44,148,91,-53
32,-242,-46,160,97,-49
23,-239,-44,163,99,-43
21,-239,-46,158,100,-34
17,-241,-45,150,94,-28
14,-241,-48,138,89,-20
14,-245,-48,124,84,-13
11,-245,-48,108,81,-4
8,-251,-47,96,77,4
10,-248,-48,86,73,9
7,-253,-52,83,70,13
4,-251,-54,83,68,15
5,-247,-51,86,66,17
5,-250,-52,89,65,17
6,-247,-52,91,66,15
7,-249,-50,88,67,18
6,-244,-50,81,66,16
6,-244,-50,71,66,15
5,-240,-48,59,66,13
5,-240,-51,48,65,10
5,-237,-48,39,64,9
5,-241,-50,32,62,4
5,-242,-52,26,60,3
11,-247,-42,20,57,-2
2,-243,-52,16,52,-8
4,-244,-46,16,50,-14
2,-246,-46,16,48,-15
5,-246,-46,16,48,-21
2,-246,-50,17,51,-24
6,-249,-45,19,54,-27
3,-246,-48,24,56,-28
6,-246,-42,30,59,-32
3,-245,-44,39,61,-28
6,-244,-44,45,60,-25
6,-246,-48,54,57,-23
3,-243,-43,62,50,-18
6,-241,-40,69,43,-13
9,-243,-41,76,33,-9
65,-217,-99,4,8,-14
64,-222,-103,2,6,-15
64,-218,-103,0,7,-14
63,-219,-102,0,7,-14
66,-217,-106,0,7,-14
66,-215,-103,0,8,-14
64,-216,-103,1,8,-13
67,-222,-101,3,9,-15
65,-217,-101,4,9,-16
65,-217,-104,7,9,-17
63,-214,-107,7,9,-16
62,-216,-104,8,9,-15
63,-218,-108,8,10,-15
61,-217,-105,8,11,-16
61,-222,-104,6,13,-14
65,-219,-107,8,13,-15
63,-217,-104,12,13,-14
64,-218,-105,17,13,-14
64,-216,-104,19,11,-14
64,-215,-104,22,12,-14
64,-219,-102,24,11,-11
64,-218,-104,26,10,-11
65,-216,-105,29,9,-11
62,-213,-104,29,8,-12
62,-215,-105,30,8,-10
63,-216,-101,28,8,-8
64,-214,-104,24,7,-8
64,-217,-106,21,8,-9
62,-217,-104,19,5,-9
61,-217,-101,18,4,-9
63,-217,-105,17,2,-9
61,-215,-106,16,1,-9
59,-214,-105,15,0,-11
64,-216,-104,14,1,-12
64,-219,-109,14,2,-14
69,-218,-108,15,1,-15
64,-217,-104,18,3,-14
65,-217,-105,19,4,-16
64,-218,-103,20,5,-15
65,-216,-105,21,6,-15
65,-217,-105,21,6,-14
64,-218,-102,21,8,-15
65,-219,-108,19,8,-16
65,-216,-105,21,8,-17
64,-218,-105,21,7,-15
62,-219,-113,22,6,-16
63,-214,-113,23,5,-15
64,-214,-106,25,4,-15
64,-217,-105,26,3,-16
62,-217,-109,27,3,-16
