x_acc,y_acc,z_acc,x_gyr,y_grc,z_grc
10,-249,2,43,7,-18
12,-248,2,43,6,-18
12,-249,4,44,5,-17
4,-245,1,45,4,-20
5,-250,4,44,3,-20
12,-246,3,45,3,-19
10,-248,0,45,3,-20
8,-246,0,45,3,-21
7,-244,2,43,2,-21
12,-246,1,40,0,-20
5,-243,-2,37,-2,-22
9,-245,-3,33,-5,-21
7,-243,0,30,-6,-22
3,-238,0,28,-9,-23
5,-247,5,23,-13,-23
8,-247,3,21,-16,-23
2,-247,0,17,-20,-25
4,-247,-1,13,-26,-24
6,-244,0,10,-33,-22
0,-243,1,3,-39,-22
2,-245,0,-2,-46,-23
1,-245,-3,-6,-53,-23
0,-244,-1,-11,-61,-22
3,-241,-1,-16,-67,-21
1,-244,-1,-20,-74,-19
0,-246,0,-24,-84,-18
0,-243,0,-28,-94,-17
-2,-244,0,-34,-103,-16
-5,-243,1,-37,-114,-13
0,-248,0,-39,-123,-11
0,-248,0,-40,-131,-9
-2,-249,3,-39,-139,-8
0,-247,3,-39,-146,-6
1,-250,3,-38,-157,-5
-2,-251,4,-38,-166,-4
-8,-250,0,-37,-174,1
-9,-247,-1,-31,-186,4
-15,-245,-2,-28,-202,10
-14,-245,-10,-29,-224,15
-19,-242,-11,-36,-248,25
-19,-239,-16,-51,-270,37
-22,-244,-17,-72,-292,50
-23,-242,-15,-89,-312,64
-27,-244,-13,-101,-333,77
-28,-242,-5,-106,-357,88
-35,-248,-7,-104,-386,98
-40,-245,-8,-105,-425,110
-42,-241,-12,-108,-466,125
-44,-241,-12,-116,-503,138
-43,-244,-14,-124,-537,148
-41,-240,-12,-132,-562,159
-39,-237,-6,-140,-579,170
-42,-236,-3,-150,-595,176
-41,-236,6,-164,-609,184
-33,-241,4,-180,-627,192
-23,-239,12,-193,-644,198
-15,-245,10,-205,-658,200
-10,-244,6,-211,-667,200
-5,-248,8,-215,-673,202
-3,-248,7,-212,-679,204
0,-247,6,-206,-684,202
2,-251,7,-193,-689,196
4,-251,4,-175,-690,187
5,-252,3,-160,-689,177
5,-253,4,-148,-684,167
11,-256,4,-144,-676,155
17,-254,7,-147,-666,147
21,-258,15,-152,-647,135
20,-260,6,-155,-623,122
23,-258,11,-150,-594,108
25,-258,12,-136,-559,91
26,-257,17,-113,-526,72
24,-257,19,-84,-496,53
22,-255,20,-51,-470,31
13,-253,13,-19,-451,7
5,-246,16,10,-439,-16
2,-243,11,30,-435,-40
-8,-235,17,39,-434,-61
-12,-237,9,40,-442,-83
-22,-237,9,34,-456,-100
-31,-234,9,26,-475,-118
-40,-233,6,20,-499,-135
-51,-229,5,18,-524,-149
-57,-228,8,23,-549,-163
-64,-230,13,31,-575,-175
-66,-228,13,36,-604,-182
-69,-233,12,36,-633,-190
-67,-237,16,27,-663,-192
-67,-237,20,10,-692,-188
-69,-245,4,-15,-719,-177
-67,-244,0,-44,-739,-163
-66,-254,-2,-78,-756,-144
-66,-257,-8,-106,-769,-122
-65,-264,-9,-118,-783,-101
-61,-270,-9,-109,-797,-80
-57,-276,-4,-79,-806,-62
-45,-276,-3,-36,-804,-46
-35,-280,-2,5,-786,-33
-21,-272,4,38,-763,-23
-5,-269,0,64,-747,-11
-3,-267,2,81,-732,1
1,-266,8,101,-717,13
10,-265,6,121,-698,22
16,-259,6,146,-676,24
21,-255,7,177,-647,22
27,-253,4,211,-617,18
31,-249,2,247,-589,11
25,-243,2,275,-561,1
25,-237,-7,298,-531,-12
24,-233,-10,310,-502,-25
20,-231,-17,310,-469,-37
20,-224,-24,297,-441,-52
14,-216,-24,272,-414,-64
6,-211,-28,238,-395,-72
1,-212,-34,195,-381,-78
-6,-210,-37,142,-370,-78
-9,-206,-44,83,-363,-73
-17,-210,-46,19,-361,-63
-27,-205,-39,-48,-361,-48
-34,-211,-45,-116,-369,-29
-36,-215,-39,-183,-384,-12
-38,-222,-35,-241,-407,5
-39,-225,-38,-293,-431,19
-34,-229,-42,-335,-451,23
-31,-239,-42,-370,-462,23
-26,-248,-45,-394,-465,15
-19,-251,-41,-401,-461,3
-9,-258,-36,-392,-455,-13
-3,-263,-31,-366,-444,-31
2,-267,-34,-332,-428,-51
8,-275,-35,-300,-411,-72
14,-272,-32,-268,-399,-88
20,-288,-31,-234,-394,-105
28,-291,-32,-194,-400,-121
36,-291,-30,-144,-416,-134
