0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
-0.625,-12.625,28.875,0.527,0.507,0.49775,-0.125,-13.0,29.0,0.5275,0.507,0.49775,0.375,-13.0,30.0,0.527,0.50675,0.49775,-0.625,-13.0,28.75,0.52725,0.50725,0.49825
-1.125,-12.5,29.125,0.5205,0.5035,0.49825,-0.5,-12.0,28.875,0.5195,0.50325,0.49875,-0.875,-12.125,28.875,0.5185,0.503,0.498,-0.5,-12.375,28.75,0.51675,0.50275,0.4975
3.125,-31.375,1.375,0.54425,0.33825,0.5055,3.875,-31.125,1.0,0.55275,0.34575,0.5045,4.375,-30.625,0.75,0.56175,0.35275,0.50275,3.625,-29.875,0.75,0.56875,0.35975,0.50025
1.75,-29.5,-3.0,0.436,0.502,0.488,0.875,-29.375,-3.25,0.433,0.5035,0.48775,1.25,-30.0,-3.0,0.42875,0.50375,0.486,1.625,-29.875,-3.375,0.425,0.5045,0.48525
-7.0,-29.0,1.125,0.487,0.118,0.42525,-7.25,-29.25,0.625,0.49075,0.128,0.418,-7.75,-28.125,0.625,0.4965,0.13425,0.41175,-6.875,-27.875,0.0,0.5025,0.13575,0.40625
-0.25,-13.125,28.5,0.5225,0.50925,0.49875,-0.125,-12.875,28.25,0.52225,0.50925,0.4985,-0.75,-12.875,28.75,0.5225,0.50925,0.4985,-0.5,-12.25,29.125,0.523,0.509,0.49825
4.25,-29.5,0.875,0.4075,0.3625,0.50075,4.375,-30.125,0.625,0.40775,0.3695,0.499,4.875,-30.0,0.5,0.40725,0.37625,0.498,5.0,-30.625,0.625,0.405,0.38175,0.49725
-7.5,-28.25,2.125,0.50775,0.35625,0.45625,-7.75,-28.0,2.125,0.509,0.349,0.4545,-8.125,-28.625,2.0,0.509,0.34175,0.4525,-7.875,-29.125,2.5,0.50675,0.33425,0.452
-3.0,-29.75,-0.125,0.4735,0.41075,0.522,-3.875,-30.5,-0.375,0.474,0.4035,0.5245,-4.5,-30.125,-0.5,0.47375,0.39375,0.5275,-4.75,-29.625,-1.0,0.473,0.3835,0.53125
-1.0,-12.125,29.25,0.511,0.5045,0.49775,-0.75,-12.625,28.625,0.5105,0.505,0.49775,-1.0,-11.75,29.125,0.5095,0.5055,0.4975,-0.5,-12.375,29.75,0.5095,0.50575,0.49775
1.0,-28.625,-10.125,0.5105,0.5015,0.4975,1.125,-28.875,-9.625,0.51,0.50175,0.4975,1.0,-28.875,-10.125,0.51025,0.502,0.49725,0.75,-29.25,-10.25,0.51,0.5025,0.49725
-1.625,-23.625,-3.75,0.58725,0.15375,0.39325,-2.25,-22.875,-4.375,0.5785,0.145,0.38725,-2.5,-21.25,-4.75,0.562,0.1405,0.38125,-2.75,-20.625,-5.25,0.54,0.14075,0.3745
1.375,-29.625,-3.0,0.4495,0.5005,0.488,1.125,-29.5,-3.25,0.44625,0.50075,0.48775,1.125,-29.375,-2.25,0.443,0.501,0.4875,1.0,-29.875,-2.5,0.43925,0.5015,0.48725
-0.125,-29.875,0.625,0.49075,0.4715,0.49675,0.5,-30.5,0.5,0.49025,0.46925,0.49725,0.5,-30.5,0.5,0.49,0.46725,0.49775,0.25,-30.625,0.875,0.49025,0.46525,0.498
1.0,-30.25,-2.5,0.5105,0.503,0.49725,0.75,-30.375,-2.75,0.5105,0.50275,0.49725,0.75,-30.625,-3.0,0.51025,0.50225,0.49725,1.125,-30.625,-2.625,0.5095,0.502,0.497
4.125,-28.0,-0.375,0.4575,0.27425,0.45275,4.625,-28.25,-1.125,0.45575,0.273,0.451,4.25,-28.25,-0.75,0.45375,0.2725,0.4495,4.625,-28.375,-0.25,0.452,0.2725,0.44775
1.75,-33.0,-0.875,0.51175,0.4535,0.51475,2.125,-31.75,-1.25,0.51525,0.45275,0.51675,0.625,-31.25,-2.0,0.51525,0.452,0.51725,0.5,-30.75,-1.625,0.51225,0.451,0.51775
-3.375,-29.375,-4.75,0.4075,0.3845,0.50575,-2.75,-30.5,-5.125,0.4015,0.38375,0.50375,-1.875,-30.875,-4.625,0.39975,0.38475,0.50075,-0.625,-31.75,-4.0,0.402,0.38625,0.49675
2.75,-30.375,-1.875,0.56125,0.197,0.39225,1.0,-28.25,-2.5,0.57475,0.18825,0.39675,0.125,-27.125,-2.75,0.58475,0.1775,0.39825,-0.25,-25.625,-3.375,0.58975,0.1655,0.39725
-0.25,-13.0,28.25,0.531,0.508,0.499,-0.625,-12.625,28.5,0.53125,0.50775,0.499,-0.125,-12.75,28.625,0.53075,0.50775,0.49925,-0.25,-12.75,28.5,0.53,0.50775,0.4995
-1.875,-29.375,-1.5,0.48725,0.4325,0.50925,-2.25,-30.0,-1.625,0.482,0.427,0.5125,-2.375,-29.75,-1.375,0.47775,0.422,0.516,-2.875,-30.0,-1.125,0.47475,0.41675,0.51925
0.5,-30.375,1.25,0.4485,0.329,0.5505,0.75,-30.875,1.375,0.45175,0.32775,0.549,1.0,-30.875,1.0,0.45625,0.3275,0.54675,1.125,-31.0,0.875,0.46,0.32775,0.54425
-0.125,-12.875,27.75,0.51875,0.506,0.498,-0.375,-13.75,27.875,0.5195,0.506,0.49775,-0.125,-13.875,27.875,0.52075,0.506,0.49825,-0.375,-13.625,27.625,0.52275,0.50575,0.498
1.0,-30.5,-0.625,0.5205,0.4895,0.50575,1.25,-30.5,-0.5,0.52,0.489,0.50625,0.75,-30.125,-1.0,0.5195,0.489,0.50725,0.875,-30.125,-0.75,0.5185,0.488,0.50725
0.625,-30.375,-0.625,0.51725,0.487,0.50725,0.75,-30.125,0.25,0.51525,0.48575,0.50725,0.875,-30.0,0.125,0.514,0.484,0.50625,0.875,-29.875,-0.25,0.5125,0.48225,0.50525
0.75,-30.0,-2.875,0.463,0.5015,0.49075,0.875,-29.625,-2.875,0.46,0.501,0.4905,1.375,-29.75,-2.75,0.45625,0.5005,0.4895,1.375,-30.25,-3.125,0.4525,0.50025,0.48825
0.0,-11.875,28.375,0.512,0.506,0.49775,-1.0,-12.25,28.875,0.51275,0.50575,0.49775,-1.25,-12.0,27.875,0.51325,0.505,0.49775,-0.125,-12.25,28.75,0.51425,0.5045,0.49775
1.25,-28.625,-9.625,0.514,0.49075,0.495,1.0,-28.25,-9.875,0.5125,0.49,0.49475,0.75,-28.5,-10.0,0.5115,0.4895,0.494,1.0,-29.0,-9.875,0.51075,0.48925,0.49375
1.375,-29.375,-10.75,0.5105,0.5005,0.49775,1.0,-28.75,-9.875,0.51075,0.50025,0.49825,1.0,-28.625,-9.875,0.511,0.50025,0.498,1.375,-29.0,-9.625,0.51175,0.5005,0.49725
4.625,-29.0,-1.25,0.45425,0.27625,0.441,4.25,-28.75,-1.0,0.456,0.27775,0.44125,3.75,-28.25,-2.0,0.45775,0.28,0.44175,4.625,-29.0,-0.375,0.45925,0.28225,0.44225
5.375,-29.625,-4.5,0.50975,0.50975,0.488,4.625,-29.625,-4.5,0.51725,0.51425,0.4865,4.5,-29.5,-4.375,0.52425,0.51775,0.48625,4.375,-29.75,-4.875,0.531,0.52075,0.48625
-5.75,-30.0,2.875,0.45825,0.25225,0.44375,-5.5,-30.875,3.0,0.457,0.24025,0.4425,-5.5,-30.5,1.875,0.45625,0.2285,0.44125,-5.75,-30.25,2.375,0.45575,0.21625,0.4395
