,Index1,Times,IMU_Task3,ax1,ay2,az3,gx4,gy5,gz6
0,2,1661076605,IMU,0.03,-0.08,1.02,-0.49,0.92,0.73
1,3,1661076605,IMU,0.04,-0.07,1.02,-0.61,1.22,0.98
2,4,1661076605,IMU,0.04,-0.07,1.02,-1.04,1.16,1.04
3,5,1661076605,IMU,0.04,-0.07,1.02,-0.55,1.1,1.16
4,6,1661076605,IMU,0.04,-0.08,1.02,-0.73,1.1,0.98
5,7,1661076605,IMU,0.04,-0.07,1.03,-0.73,0.98,0.98
6,8,1661076605,IMU,0.04,-0.07,1.02,-0.79,1.1,0.92
7,9,1661076605,IMU,0.04,-0.07,1.02,-0.67,1.1,1.04
8,10,1661076605,IMU,0.04,-0.07,1.02,-0.79,1.04,1.04
9,1,1661076615,IMU,0.04,-0.07,1.02,-0.73,0.85,0.98
10,2,1661076615,IMU,0.04,-0.08,1.02,-0.73,0.61,0.85
11,3,1661076615,IMU,0.04,-0.07,1.02,-0.67,0.73,0.85
12,4,1661076615,IMU,0.04,-0.07,1.02,-0.85,0.73,0.92
13,5,1661076615,IMU,0.03,-0.08,1.02,-0.55,0.92,0.79
14,6,1661076615,IMU,0.04,-0.08,1.02,-0.67,0.85,0.98
15,7,1661076615,IMU,0.03,-0.08,1.02,-0.61,0.85,1.04
16,8,1661076615,IMU,0.04,-0.07,1.02,-0.73,0.85,0.98
17,9,1661076615,IMU,0.04,-0.08,1.02,-0.73,0.73,0.98
18,10,1661076615,IMU,0.04,-0.07,1.02,-0.73,0.92,1.04
19,1,1661077162,IMU,0.04,-0.08,1.02,-0.61,0.79,0.79
20,2,1661077162,IMU,0.04,-0.08,1.02,-0.67,0.73,0.92
21,3,1661077162,IMU,0.04,-0.08,1.02,-0.67,0.73,0.98
22,4,1661077162,IMU,0.04,-0.08,1.02,-0.73,0.85,0.98
23,5,1661077162,IMU,0.04,-0.08,1.02,-0.55,0.92,0.98
24,6,1661077162,IMU,0.04,-0.08,1.02,-0.67,0.92,0.85
25,7,1661077162,IMU,0.04,-0.08,1.02,-0.55,0.85,0.92
26,8,1661077162,IMU,0.04,-0.08,1.02,-0.92,0.98,0.92
27,9,1661077162,IMU,0.04,-0.08,1.02,-0.43,0.98,1.1
28,10,1661077162,IMU,0.04,-0.08,1.02,-1.04,1.1,0.98
