Ax,Ay,Az,Ga,Gy,Gz
-0.03,-0.13,-0.98,-0.67,0.92,0.85
-0.03,-0.12,-0.99,-4.88,4.88,1.59
-0.02,-0.11,-0.99,-0.92,1.34,0.79
-0.02,-0.11,-0.99,-0.55,0.92,0.85
-0.02,-0.11,-0.99,-0.92,0.85,0.85
-0.02,-0.11,-0.99,-0.67,0.85,0.92
-0.02,-0.11,-0.99,-0.67,1.22,0.92
-0.02,-0.11,-0.99,-0.67,0.79,0.73
-0.02,-0.11,-0.99,-0.61,1.04,0.79
-0.02,-0.11,-0.99,-1.1,1.1,0.79
-0.02,-0.11,-0.99,-0.55,0.79,0.79
-0.02,-0.11,-0.99,-0.61,0.92,0.92
-0.02,-0.11,-0.99,-0.79,0.92,0.85
-0.02,-0.11,-0.99,-0.37,1.22,0.85
-0.02,-0.11,-0.99,-0.43,1.1,0.85
-0.02,-0.11,-0.99,-0.79,0.98,0.85
-0.02,-0.11,-0.99,-0.55,0.98,0.98
-0.02,-0.11,-0.99,-0.37,0.92,0.92
-0.02,-0.11,-0.99,-0.85,0.85,0.98
-0.02,-0.11,-0.99,-0.98,0.92,0.79
-0.02,-0.11,-0.99,-0.67,0.55,1.04
-0.02,-0.11,-0.99,-0.67,1.1,0.92
-0.02,-0.11,-0.99,-0.43,0.98,0.85
